NAME,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Montana,32.0,32.0,49.0,74.0,52.0,56.0,60.0,49.0,50.0,31.0,61.0,56.0,6.0,28.0
Nebraska,26.0,38.0,27.0,47.0,29.0,26.0,23.0,16.0,25.0,21.0,31.0,34.0,14.0,13.0
Nevada,48.0,50.0,53.0,86.0,53.0,98.0,112.0,64.0,58.0,58.0,69.0,94.0,34.0,37.0
New Hampshire,26.0,26.0,33.0,80.0,66.0,96.0,87.0,53.0,53.0,37.0,78.0,88.0,29.0,37.0
New Jersey,119.0,93.0,92.0,159.0,167.0,167.0,130.0,130.0,121.0,58.0,193.0,144.0,76.0,84.0
New Mexico,51.0,38.0,35.0,72.0,88.0,110.0,78.0,78.0,83.0,60.0,89.0,82.0,48.0,46.0
New York,206.0,180.0,251.0,384.0,261.0,332.0,301.0,219.0,187.0,117.0,193.0,292.0,194.0,181.0
North Carolina,125.0,133.0,195.0,249.0,199.0,282.0,187.0,219.0,146.0,109.0,163.0,137.0,98.0,120.0
North Dakota,9.0,5.0,12.0,12.0,7.0,11.0,11.0,12.0,9.0,8.0,18.0,25.0,9.0,3.0
Ohio,132.0,132.0,156.0,273.0,363.0,279.0,215.0,157.0,151.0,106.0,212.0,244.0,104.0,131.0
Oklahoma,41.0,36.0,56.0,96.0,81.0,94.0,73.0,45.0,51.0,44.0,67.0,92.0,33.0,46.0
Oregon,80.0,85.0,116.0,181.0,189.0,228.0,215.0,168.0,127.0,100.0,133.0,238.0,94.0,85.0
Pennsylvania,166.0,171.0,188.0,297.0,307.0,382.0,245.0,203.0,179.0,95.0,236.0,317.0,139.0,182.0
Rhode Island,17.0,20.0,20.0,50.0,37.0,38.0,49.0,33.0,29.0,19.0,33.0,27.0,15.0,15.0
South Carolina,68.0,70.0,117.0,186.0,159.0,260.0,109.0,97.0,110.0,78.0,115.0,118.0,42.0,61.0
South Dakota,13.0,14.0,17.0,27.0,20.0,21.0,17.0,23.0,18.0,11.0,15.0,16.0,7.0,20.0
Tennessee,72.0,71.0,100.0,128.0,125.0,150.0,110.0,114.0,94.0,49.0,130.0,106.0,51.0,77.0
Texas,266.0,228.0,268.0,267.0,248.0,309.0,186.0,159.0,127.0,93.0,241.0,303.0,139.0,155.0
United States,4324.0,4277.0,5213.0,7476.0,7168.0,8168.0,6560.0,5421.0,4832.0,3305.0,5987.0,6811.0,3257.0,3753.0
Utah,36.0,41.0,57.0,112.0,94.0,79.0,78.0,92.0,72.0,60.0,81.0,108.0,34.0,36.0
Vermont,23.0,13.0,23.0,57.0,66.0,38.0,47.0,23.0,20.0,22.0,22.0,35.0,16.0,21.0
Virginia,82.0,77.0,100.0,150.0,205.0,185.0,151.0,120.0,104.0,74.0,196.0,107.0,62.0,70.0
Washington,234.0,276.0,304.0,428.0,321.0,374.0,275.0,229.0,208.0,174.0,241.0,374.0,193.0,155.0
West Virginia,39.0,21.0,30.0,63.0,58.0,63.0,55.0,32.0,23.0,15.0,40.0,48.0,18.0,28.0
Wisconsin,63.0,65.0,114.0,157.0,179.0,147.0,131.0,121.0,88.0,42.0,136.0,138.0,37.0,66.0
Wyoming,5.0,13.0,21.0,14.0,18.0,21.0,20.0,16.0,19.0,15.0,21.0,27.0,4.0,14.0
