state,city_latitude,city_longitude,date,time
WA,47.60567891170866,-122.33084005928434,2019-10-09,17:20:00
CA,34.0410939524838,-117.62595593952484,2019-10-09,17:45:00
NC,35.579050832602974,-80.84304171779141,2019-10-09,18:00:00
CA,38.75928433048433,-121.30195356125355,2019-10-09,18:10:00
AZ,33.6096,-112.3253,2019-10-09,18:35:00
TX,32.74023188229325,-97.33552857432775,2019-10-09,20:40:00
TX,30.7733,-94.4114,2019-10-09,20:45:00
NM,35.117007033898304,-106.62212966101694,2019-10-09,21:00:00
VA,37.0367,-82.0242,2019-10-09,21:45:00
OH,39.73445726170668,-84.17540109341573,2019-10-09,22:00:00
NM,32.354139318885444,-106.7495773993808,2019-10-09,23:30:00
GA,34.01764306930693,-84.62524306930693,2019-10-09,22:50:00
IN,38.1176,-86.92450000000001,2019-10-10,05:25:00
TN,36.56671719298246,-87.39411859649124,2019-10-10,05:45:00
NJ,40.72474261083744,-74.06297906403941,2019-10-10,07:00:00
OH,39.99382762603116,-82.98248417965169,2019-10-10,09:00:00
MT,46.87764227005871,-114.02785929549904,2019-10-10,09:27:00
FL,26.7107,-80.2324,2019-10-10,09:46:00
NC,36.4257,-79.9571,2019-10-10,11:00:00
TX,29.782476507000737,-95.44062368459838,2019-10-10,19:00:00
TN,35.11963024462565,-89.9387742772424,2019-10-10,19:01:00
NC,35.7178,-78.8428,2019-10-10,19:30:00
NC,35.7178,-78.8428,2019-10-10,19:30:00
NC,35.7178,-78.8428,2019-10-10,19:40:00
TX,30.51487920087576,-97.66993125342093,2019-10-10,19:50:00
FL,27.15972983870968,-80.21501854838709,2019-10-10,20:00:00
PA,40.5698,-78.5987,2019-10-10,20:00:00
GA,32.1948,-82.404,2019-10-10,20:04:00
SC,34.3369,-82.0867,2019-10-10,20:05:00
MA,42.38260125,-71.22879375,2019-10-10,20:30:00
CT,41.5362,-72.0833,2019-10-10,21:00:00
NY,41.96904712041885,-74.06714345549737,2019-10-10,21:00:00
MO,39.4192,-92.4366,2019-10-10,21:00:00
TX,32.82456242621616,-96.79876776409526,2019-10-11,01:44:00
NY,43.3381,-75.7537,2019-10-11,02:50:00
VA,38.946518359375,-77.20318359375,2019-10-09,20:30:00
OR,45.510005224458205,-122.66458212074302,2019-10-09,21:00:00
